source,relation,target
CVE-2026-53852,has_weakness,CWE-636
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2522-W
CAPEC-292,maps_to,T1518.001
CVE-2026-48511,has_weakness,CWE-407
CAPEC-635,maps_to,T1546
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2525-W
CAPEC-168,maps_to,T1021.002
CVE-2026-39437,affects,WPFactory:Min Max Step Quantity Limits Manager for WooCommerce
CAPEC-670,maps_to,T1554
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2V-ET3
CAPEC-697,maps_to,T1502
CVE-2026-39530,has_weakness,CWE-89
CAPEC-82,maps_to,T1035
CAPEC-76,maps_to,T1019
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW4021S-W
CAPEC-563,maps_to,T1204.001
CVE-2026-55237,has_weakness,CWE-87
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XD2826S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM2824E4-W
CVE-2026-56276,has_weakness,CWE-915
CVE-2026-39582,has_weakness,CWE-98
T1602,mitigated_by,Network Segmentation
CVE-2026-2675,affects,RTI:Connext Professional
CAPEC-633,maps_to,T1684.001
CWE-294,mapped_to,CAPEC-509
T1098.001,mitigated_by,User Account Management
CWE-74,mapped_to,CAPEC-34
T1003.005,mitigated_by,Active Directory Configuration
CVE-2026-12787,affects,zhilink 智互联(深圳)科技有限公司:ADP Application Developer Platform 应用开发者平台
CAPEC-451,maps_to,T1588.001
CAPEC-278,maps_to,T1565
CAPEC-554,maps_to,T1088
CAPEC-388,maps_to,T1496.002
CAPEC-82,maps_to,T1036.004
CWE-346,mapped_to,CAPEC-386
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW6321S-W-1
CAPEC-51,maps_to,T1007
CAPEC-385,maps_to,T1547.007
CAPEC-665,maps_to,T1211
CAPEC-171,maps_to,T1548.006
CAPEC-578,maps_to,T1562.002
